Latitude,Longitude,Wind,Pressure,Storm_Type
23.8,-96.3,70,987,hurricane
24,-97,100,973,hurricane
24.1,-97.5,100,963,hurricane
24.3,-97.8,90,963,hurricane
24.8,-98,55,993,tropical storm
25.1,-98.3,30,1000,tropical depression
25.2,-98.7,20,1002,tropical depression
25.3,-99,20,1002,tropical depression
33.3,-46.3,35,1005,subtropical storm
33.6,-47.5,40,1005,subtropical storm
34.5,-48.1,40,1005,subtropical storm
34.7,-48.5,45,1005,subtropical storm
34.9,-48.9,45,1005,tropical storm
35.2,-49.1,50,1000,tropical storm
35.3,-48.9,55,997,tropical storm
35.3,-48.5,55,997,tropical storm
35.3,-48,55,997,tropical storm
35,-47.1,55,997,tropical storm
34.9,-46.3,65,990,hurricane
34.8,-45.7,65,990,hurricane
34.7,-45.2,70,990,hurricane
34.6,-44.9,70,990,hurricane
34.5,-44.6,75,984,hurricane
34.6,-44.2,75,984,hurricane
34.9,-44,75,984,hurricane
35.4,-44,75,984,hurricane
35.8,-44.4,90,970,hurricane
36.4,-44.5,95,965,hurricane
37,-44.3,95,965,hurricane
37.7,-44.2,95,965,hurricane
38.4,-43.8,95,965,hurricane
39.7,-43.6,95,965,hurricane
41.1,-43,95,965,hurricane
42,-42.5,90,970,hurricane
42.8,-42,60,995,tropical storm
43.2,-41.4,45,1005,extratropical
43.5,-40.7,45,1005,extratropical
17.6,-55.2,25,1009,tropical depression
17.7,-56.3,25,1009,tropical depression
17.8,-57.3,25,1009,tropical depression
17.9,-58.3,25,1009,tropical depression
18,-59.4,25,1009,tropical depression
18.1,-60.5,25,1009,tropical depression
18.3,-61.7,25,1009,tropical depression
18.5,-62.8,25,1009,tropical depression
18.8,-63.8,30,1007,tropical depression
18.9,-64.8,30,1007,tropical depression
19,-65.6,35,1007,tropical storm
19.2,-66.7,45,1007,tropical storm
19.4,-67.5,55,1002,tropical storm
19.5,-68.4,65,1002,hurricane
19.6,-69.2,65,997,hurricane
19.7,-70.2,60,1000,tropical storm
19.7,-71.2,55,1000,tropical storm
19.8,-72.2,50,1000,tropical storm
19.9,-73.3,45,1000,tropical storm
19.9,-74.5,45,1000,tropical storm
19.9,-75.7,40,1000,tropical storm
20,-77,40,1000,tropical storm
20,-78.2,35,1000,tropical storm
19.9,-79.1,35,1000,tropical storm
19.9,-79.8,35,1000,tropical storm
19.8,-81,35,1000,tropical storm
19.8,-82.2,35,1000,tropical storm
19.8,-83.4,35,1000,tropical storm
19.9,-84.6,35,1006,tropical storm
20,-85.5,35,1006,tropical storm
20.2,-86.4,40,1001,tropical storm
20.8,-87.1,45,1001,tropical storm
21.4,-87.8,50,1001,tropical storm
22.4,-88.5,55,995,tropical storm
23.6,-88.9,60,995,tropical storm
24.8,-89.4,65,993,hurricane
25.8,-89.5,75,986,hurricane
26.5,-89.4,85,980,hurricane
27.3,-88.5,95,968,hurricane
28.4,-87.3,105,958,hurricane
30.2,-86.3,110,955,hurricane
33,-85.7,55,982,tropical storm
35.5,-84.3,30,999,tropical depression
36.5,-83.5,20,1004,extratropical
37,-82.5,20,1004,extratropical
37.5,-81.5,20,1004,extratropical
23,-56.9,25,1005,tropical depression
23.8,-57.2,30,1005,tropical depression
24.2,-58.1,35,1005,tropical storm
24.8,-58.8,45,999,tropical storm
25.5,-59.4,60,993,tropical storm
26.5,-60,65,990,hurricane
27.9,-60.9,70,988,hurricane
29.6,-62,75,985,hurricane
31,-63.1,85,985,hurricane
32.7,-64.2,90,985,hurricane
34.4,-65.2,90,979,hurricane
36.1,-65.7,90,982,hurricane
37.4,-65,90,985,hurricane
38.4,-63.7,85,985,hurricane
39.8,-60.5,80,985,hurricane
41,-57.1,75,979,hurricane
42.3,-52,75,977,hurricane
42.8,-46,70,977,hurricane
42.9,-40,65,977,hurricane
10.3,-34.8,25,1012,tropical depression
10.6,-35.8,25,1012,tropical depression
11,-36.7,25,1012,tropical depression
11.4,-37.4,25,1012,tropical depression
11.7,-38.2,30,1010,tropical depression
12.1,-38.8,30,1010,tropical depression
12.4,-39.6,30,1010,tropical depression
12.9,-40,30,1010,tropical depression
13.5,-40.4,35,1005,tropical storm
14.2,-41,40,1005,tropical storm
14.8,-42,50,1000,tropical storm
15.4,-43,60,1000,tropical storm
15.8,-44,65,990,hurricane
16.2,-45,65,990,hurricane
16.4,-46.1,65,990,hurricane
16.6,-47.7,65,990,hurricane
16.8,-49.3,65,990,hurricane
17.1,-50.7,65,990,hurricane
17.6,-52.2,65,990,hurricane
18.2,-53.7,65,990,hurricane
18.8,-55.1,65,990,hurricane
19.4,-56.4,65,992,hurricane
19.6,-57.4,65,992,hurricane
19.8,-58.2,65,1000,hurricane
20.3,-59.3,65,998,hurricane
21.2,-60.3,65,995,hurricane
22.1,-61.4,70,990,hurricane
23,-62.6,70,990,hurricane
23.6,-63.9,75,985,hurricane
24.1,-65.2,80,975,hurricane
24.6,-66.5,80,975,hurricane
25.1,-67.9,80,975,hurricane
25.6,-69.3,80,975,hurricane
26.1,-70.6,80,975,hurricane
26.8,-71.7,80,975,hurricane
27.9,-72.4,80,975,hurricane
29.4,-73,90,969,hurricane
31,-73,100,954,hurricane
32.9,-72.1,110,942,hurricane
35.3,-69.8,120,939,hurricane
37.8,-67,120,939,hurricane
40.8,-62.6,110,950,hurricane
43.7,-57,85,960,hurricane
46.6,-50.6,85,960,hurricane
50.5,-45.5,75,975,extratropical
55,-40,65,980,extratropical
29.1,-79.3,30,1006,subtropical depression
28.8,-79,30,1006,subtropical depression
29.4,-79.4,30,1006,subtropical depression
30,-79.7,30,1006,subtropical depression
30.2,-79.8,30,1006,subtropical depression
30.5,-79.9,30,1006,subtropical depression
30.9,-80.1,30,1006,tropical depression
31.8,-79.6,30,1005,tropical depression
32.5,-78.7,35,1003,tropical storm
33.5,-77.5,45,1002,tropical storm
34.5,-75.5,45,1002,tropical storm
35.7,-73.8,45,1004,tropical storm
36.4,-72.6,40,1006,extratropical
36.9,-71.4,35,1008,extratropical
26,-72.8,25,1012,tropical depression
26.3,-73,25,1012,tropical depression
26,-73.4,30,1009,tropical depression
25.6,-73.2,40,1005,tropical storm
26,-73.2,45,1000,tropical storm
26.2,-73.7,55,993,tropical storm
26.6,-74.2,70,985,hurricane
26.9,-74.6,80,972,hurricane
27.4,-75.1,90,962,hurricane
28.1,-75.1,95,959,hurricane
29.5,-75.3,100,958,hurricane
30.9,-75.3,105,957,hurricane
32.5,-75.2,105,959,hurricane
34.4,-74.7,95,963,hurricane
36.6,-74.2,90,970,hurricane
38.8,-73.8,80,977,hurricane
41,-73.2,60,983,tropical storm
42.6,-72.4,35,992,tropical storm
26,-84,20,1010,tropical depression
24.7,-82.7,20,1009,tropical depression
24.8,-82,30,1003,tropical depression
26.6,-80.1,35,1006,tropical storm
29.6,-80,45,996,tropical storm
30.6,-80,40,999,tropical storm
32,-80,35,1005,tropical storm
33,-80,35,1005,tropical storm
33.3,-80,25,1010,tropical depression
33.5,-80,20,1015,tropical depression
31.7,-68.2,30,1007,tropical depression
33.4,-67.5,35,1003,tropical storm
35.2,-66.4,40,996,tropical storm
38.2,-64,40,999,tropical storm
38.8,-63.7,35,1005,tropical storm
39.7,-63.3,35,1005,tropical storm
40.8,-61,40,997,tropical storm
41.2,-59.3,65,993,hurricane
41,-59,65,989,hurricane
41.3,-56.4,80,964,hurricane
44.4,-51.2,80,971,hurricane
14,-48,20,1012,tropical depression
14.4,-52.8,25,1012,tropical depression
15.2,-54.2,25,1010,tropical depression
15.8,-55.2,30,1009,tropical depression
16.2,-56,35,1006,tropical storm
17,-57.2,40,1004,tropical storm
18.6,-60,50,997,tropical storm
20.2,-62,55,996,tropical storm
21.3,-63.2,55,998,tropical storm
22.7,-64,55,999,tropical storm
23.8,-64.5,55,999,tropical storm
24.5,-64.8,60,995,tropical storm
26,-63.4,60,991,tropical storm
26.5,-62.1,65,990,hurricane
26.6,-60.4,65,991,hurricane
26.8,-59,70,988,hurricane
27,-57.8,75,984,hurricane
27.2,-56.2,80,980,hurricane
27.7,-54.8,85,976,hurricane
30.9,-53.7,85,975,hurricane
33.5,-56.6,85,975,hurricane
35,-56.8,90,974,hurricane
34.9,-52,90,975,hurricane
35.1,-44.9,85,977,hurricane
35.1,-36.6,80,975,hurricane
35.2,-28.7,75,980,hurricane
38,-27.2,70,984,hurricane
38.8,-26.8,65,988,hurricane
39.6,-25.8,65,994,hurricane
40.5,-25,50,998,extratropical
41,-24,30,1002,extratropical
12.5,-37.5,25,1009,tropical depression
14.7,-45.3,50,1002,tropical storm
16.6,-49.6,50,998,tropical storm
17.5,-50.5,60,994,tropical storm
18.3,-51.6,65,991,hurricane
20.2,-54.2,65,987,hurricane
21,-54.9,65,980,hurricane
23.1,-55.2,75,975,hurricane
25.3,-54.9,90,968,hurricane
26.3,-54.3,100,963,hurricane
27.2,-53.7,95,966,hurricane
32,-37.2,65,992,hurricane
34.9,-34.1,55,992,extratropical
41.9,-27.6,45,998,extratropical
23,-58,20,1009,tropical depression
23.7,-58.1,20,1007,tropical depression
24.3,-58.2,25,1005,tropical depression
24.9,-58.1,30,1001,tropical depression
25.7,-58,35,997,tropical storm
26.3,-58,45,994,tropical storm
27,-58,55,993,tropical storm
27.5,-58.2,60,992,tropical storm
27.8,-58.6,60,992,tropical storm
28.2,-59,60,991,tropical storm
28.6,-59.5,60,988,tropical storm
29.1,-59.8,65,984,hurricane
29.7,-60.2,65,979,hurricane
30.2,-60.3,70,973,hurricane
31.1,-60.2,80,970,hurricane
32.2,-59.8,85,971,hurricane
33.1,-58.8,90,977,hurricane
34,-57.5,90,981,hurricane
34.7,-56.1,90,985,hurricane
35.3,-54.8,85,988,hurricane
35.7,-53.7,80,990,hurricane
36.1,-52.6,75,992,hurricane
36.4,-51.7,70,993,hurricane
36.6,-50.8,60,994,tropical storm
36.8,-49.9,60,995,tropical storm
36.9,-49,55,996,tropical storm
36.8,-48.3,50,997,tropical storm
36.4,-47.6,45,998,tropical storm
36.2,-46.9,40,999,tropical storm
35.8,-45.8,40,1001,tropical storm
35.7,-44.6,35,1002,tropical storm
36,-43,30,1003,tropical depression
36.5,-41.4,30,1005,tropical depression
37.4,-38.7,30,1006,tropical depression
39,-35,30,1008,extratropical
19.1,-55.8,25,1006,tropical depression
22.5,-58,35,1002,tropical storm
24.2,-58.2,45,995,tropical storm
24.9,-58.1,65,990,hurricane
27.2,-57.5,65,995,hurricane
30.4,-55.7,50,1000,tropical storm
46.5,-30,35,1000,extratropical
26.9,-88.4,20,1012,tropical depression
27,-88.9,25,1010,tropical depression
26.9,-89.4,30,1009,tropical depression
26.8,-89.8,40,1006,tropical storm
26.7,-90.3,50,1003,tropical storm
26.5,-90.6,65,997,hurricane
26.4,-91,70,991,hurricane
26.3,-91.4,75,988,hurricane
26.2,-91.8,75,986,hurricane
26.1,-92.3,80,985,hurricane
25.9,-92.8,80,979,hurricane
25.8,-93.7,85,972,hurricane
25.5,-94.7,90,963,hurricane
25.2,-95.5,110,945,hurricane
24.6,-96.2,140,931,hurricane
24.2,-97.1,150,926,hurricane
23.7,-98,120,940,hurricane
23.1,-99.2,70,978,hurricane
22.5,-101,40,998,tropical storm
22,-103,25,1011,tropical depression
26.8,-86.3,25,1007,subtropical depression
27.6,-88.5,35,1005,subtropical storm
26.8,-91.7,45,1003,subtropical storm
27.5,-91.7,50,1000,tropical storm
28.7,-91.4,65,995,hurricane
29.8,-91.6,50,1000,tropical storm
31.7,-89.4,25,1004,tropical depression
33.8,-87.1,25,1008,tropical depression
34.5,-84.8,25,1010,tropical depression
34.8,-80.2,25,1012,tropical depression
32.8,-80,20,1015,tropical depression
33.2,-79,20,1014,tropical depression
33.6,-78.2,20,1013,tropical depression
33.8,-77.6,25,1012,tropical depression
34,-77,25,1011,tropical depression
34.2,-76.4,25,1010,tropical depression
34.4,-75.8,30,1010,tropical depression
34.6,-75,30,1010,tropical depression
34.7,-74.3,30,1010,tropical depression
34.9,-73,30,1010,tropical depression
35.1,-71.7,35,1006,tropical storm
35.3,-69.7,45,1001,tropical storm
35.5,-67.7,65,993,hurricane
35.6,-66.2,65,994,hurricane
35.5,-64.6,65,998,hurricane
34.8,-63.5,60,1000,tropical storm
34,-62.8,55,999,tropical storm
33.4,-62.8,50,1001,tropical storm
32.8,-63.2,45,1000,tropical storm
32.8,-63.6,40,1000,tropical storm
33,-63.8,45,1001,tropical storm
33.5,-63.7,45,1001,tropical storm
34.2,-63.2,45,1002,tropical storm
34.8,-62.5,45,1002,tropical storm
36,-61.5,45,1001,extratropical
38,-59.8,45,1001,extratropical
40.5,-57.5,45,1001,extratropical
28.5,-71.5,20,1010,tropical depression
29.5,-69.8,20,1009,tropical depression
30.2,-67.9,30,1005,tropical depression
30.9,-65.8,40,1002,tropical storm
31.9,-63.6,45,1000,tropical storm
33.2,-61.8,50,996,tropical storm
34.4,-60.8,60,992,tropical storm
35.5,-59.7,65,988,hurricane
37,-58.8,70,984,hurricane
38.3,-57,75,980,hurricane
40,-55.5,70,984,hurricane
42,-54,65,988,hurricane
44.5,-53,60,990,extratropical
47,-51,50,995,extratropical
49.5,-48.5,45,1000,extratropical
26.9,-62.9,30,1010,tropical depression
29,-64,30,1008,tropical depression
30.9,-64.9,35,1005,tropical storm
33,-64.9,40,1002,tropical storm
35.9,-64.4,50,999,tropical storm
39.2,-63.3,65,994,hurricane
42.4,-61.5,70,996,hurricane
45.5,-60.1,70,998,hurricane
47.4,-59.2,70,999,hurricane
49.1,-58.3,45,1000,extratropical
17.3,-83.2,25,1011,tropical depression
17.3,-83.4,30,1010,tropical depression
17.3,-83.6,30,1009,tropical depression
17.2,-83.9,40,1008,tropical storm
17.2,-84.4,45,1007,tropical storm
17.3,-85,50,1006,tropical storm
17.4,-85.8,40,1005,tropical storm
17.5,-86.6,30,1006,tropical depression
17.6,-87.4,25,1008,tropical depression
17.6,-88.3,20,1010,tropical depression
25.7,-97,30,1006,tropical depression
26.4,-97.4,45,1005,tropical storm
27.2,-97.8,40,1007,tropical storm
28,-98.2,35,1008,tropical storm
28.6,-98.7,30,1010,tropical depression
29.3,-99.2,25,1010,tropical depression
25.3,-90.4,20,1012,tropical depression
25.1,-91,20,1012,tropical depression
24.8,-91.8,25,1011,tropical depression
24.5,-92.5,30,1010,tropical depression
24.2,-93.3,30,1009,tropical depression
23.9,-94,35,1008,tropical storm
23.3,-95,40,1007,tropical storm
22.8,-95.7,40,1006,tropical storm
22.2,-96.2,40,1005,tropical storm
21.6,-96.6,45,1006,tropical storm
21.1,-96.8,45,1007,tropical storm
20.4,-96.9,40,1008,tropical storm
20,-97,25,1010,tropical depression
13,-35,25,1010,tropical depression
13.4,-36.2,25,1010,tropical depression
13.8,-37.8,25,1009,tropical depression
13.9,-39.6,30,1008,tropical depression
14,-41.5,50,1003,tropical storm
14,-43.2,65,990,hurricane
14,-44.9,80,980,hurricane
13.9,-46.8,80,980,hurricane
13.6,-48.6,70,988,hurricane
13.2,-50.6,65,998,hurricane
12.8,-52.8,60,1006,tropical storm
12.4,-54.8,55,1007,tropical storm
12.2,-56.8,55,1007,tropical storm
12.1,-58.8,50,1008,tropical storm
12,-60.9,45,1008,tropical storm
12,-62.8,35,1008,tropical storm
12.1,-64.8,30,1008,tropical depression
12.1,-66.8,30,1009,tropical depression
12.2,-68.8,30,1010,tropical depression
23.4,-88.4,25,1010,tropical depression
24.5,-91.4,25,1008,tropical depression
25.8,-93.8,25,1006,tropical depression
28.7,-94.1,40,1002,tropical storm
29.6,-93.6,50,1000,tropical storm
32,-93,30,1002,tropical depression
34.2,-92.7,15,1005,tropical depression
26.2,-59.7,20,1012,tropical depression
26.5,-60.8,20,1011,tropical depression
27,-62,30,1010,tropical depression
27.3,-63.1,40,1005,tropical storm
27.6,-64.2,50,1000,tropical storm
28.2,-65.9,55,993,tropical storm
28.8,-67.6,60,986,tropical storm
29.3,-68.8,70,980,hurricane
29.6,-70,90,978,hurricane
30.1,-71.1,100,975,hurricane
30.7,-71.8,110,970,hurricane
31.1,-72.3,110,960,hurricane
31.2,-72.7,105,960,hurricane
31.4,-73.1,100,977,hurricane
31.6,-73.3,80,981,hurricane
31.9,-73,70,983,hurricane
32.3,-72.8,70,983,hurricane
33,-72.4,80,981,hurricane
33.8,-71.7,85,976,hurricane
35,-70.2,95,970,hurricane
36.2,-68.3,110,962,hurricane
38,-66,115,958,hurricane
40,-63,120,956,hurricane
42.5,-59.5,115,956,hurricane
45,-55,105,960,hurricane
47.2,-50.2,80,975,hurricane
49,-45,65,980,hurricane
12,-39,25,1006,tropical depression
21.8,-56.8,40,1003,tropical storm
22.2,-60,40,1001,tropical storm
23.5,-62,35,1005,tropical storm
25,-60.5,30,1008,tropical depression
26.4,-59.2,25,1010,tropical depression
28.6,-54.8,30,1008,tropical depression
29.2,-50.5,35,1005,tropical storm
29.9,-49.1,45,1001,tropical storm
30.7,-47.5,55,998,tropical storm
31.3,-44.7,60,995,tropical storm
31.4,-44,65,992,hurricane
31.6,-43.5,75,985,hurricane
31.7,-43,80,980,hurricane
31.8,-42.9,85,976,hurricane
33.6,-43.1,75,985,hurricane
43.1,-35.9,65,992,hurricane
45.7,-32.8,55,998,tropical storm
49.8,-24.3,45,1000,extratropical
29.8,-80,25,1012,subtropical depression
30.9,-78.6,25,1010,subtropical depression
31.1,-76.5,25,1010,subtropical depression
31.8,-74.2,25,1009,subtropical depression
32.8,-72.1,25,1008,subtropical depression
33.2,-68.7,30,1009,subtropical depression
32.9,-64.8,35,1008,subtropical storm
31.6,-62.1,35,1005,subtropical storm
31,-60.3,35,1002,subtropical storm
33,-54.8,40,1000,tropical storm
35,-51.8,45,998,tropical storm
37,-47.8,50,995,tropical storm
39.1,-43,55,990,tropical storm
42.5,-36.5,55,987,tropical storm
45.5,-33,55,990,tropical storm
57,-30,50,995,tropical storm
13,-69,35,1004,tropical storm
13.7,-74.2,50,1000,tropical storm
13.8,-75.3,55,995,tropical storm
14,-77.7,70,989,hurricane
14.6,-79.6,80,982,hurricane
15.2,-81.6,90,974,hurricane
15.5,-82.6,95,968,hurricane
15.6,-83.4,110,952,hurricane
15.8,-84.3,115,947,hurricane
16.4,-85.6,105,957,hurricane
16.6,-86.9,100,964,hurricane
17,-88.2,95,964,hurricane
31.7,-31.5,30,1010,subtropical depression
32,-31.5,30,1006,subtropical depression
35.1,-31.5,40,1004,tropical storm
35.8,-31.4,45,1002,tropical storm
36.7,-31.2,45,1001,tropical storm
38.2,-30.4,40,1002,tropical storm
18,-55.6,25,1011,tropical depression
18.3,-56.6,30,1010,tropical depression
18.6,-57.7,30,1009,tropical depression
18.8,-58.7,35,1008,tropical storm
19,-59.8,40,1007,tropical storm
19.3,-60.9,45,1006,tropical storm
19.7,-62,45,1006,tropical storm
19.9,-63,45,1006,tropical storm
20.3,-64.2,45,1006,tropical storm
20.9,-65.4,45,1006,tropical storm
21.7,-67,45,1006,tropical storm
22.8,-68.8,45,1006,tropical storm
24.3,-70.1,45,1006,tropical storm
26.2,-70.9,45,1006,tropical storm
28.3,-71,40,1006,tropical storm
30.2,-69.9,35,1006,tropical storm
23.5,-72.7,30,1008,tropical depression
24.2,-73.2,40,1002,tropical storm
25.7,-73.7,55,998,tropical storm
26.2,-74.1,65,995,hurricane
28.9,-72.6,70,990,hurricane
29.3,-72.3,65,998,hurricane
30,-72,45,1006,tropical storm
33.7,-68.2,30,1008,extratropical
35.2,-65.5,30,1006,extratropical
38,-60.5,40,1002,extratropical
46,-35,30,1004,extratropical
10,-45,25,1011,tropical depression
10.2,-46,25,1011,tropical depression
10.5,-47,25,1010,tropical depression
10.9,-48.1,25,1010,tropical depression
11.3,-49.2,25,1010,tropical depression
11.8,-50.2,25,1009,tropical depression
12.3,-51.1,30,1009,tropical depression
12.9,-51.9,30,1008,tropical depression
13.5,-52.7,30,1008,tropical depression
13.9,-53.5,30,1007,tropical depression
14.2,-54.7,35,1007,tropical storm
14.2,-55.8,40,1005,tropical storm
14.2,-56.9,50,1006,tropical storm
14.1,-58.3,40,1008,tropical storm
14.1,-59.8,35,1010,tropical storm
14,-61.3,30,1012,tropical depression
14,-62.8,25,1012,tropical depression
14,-64.5,25,1012,tropical depression
14,-66.2,25,1012,tropical depression
22,-96,20,1012,tropical depression
22.5,-95.3,25,1010,tropical depression
23,-94.6,30,1007,tropical depression
23.5,-93.8,35,1004,tropical storm
24,-93,50,998,tropical storm
25,-92.3,55,996,tropical storm
26.2,-91.6,65,988,hurricane
27.8,-91.1,65,991,hurricane
29.1,-90.6,65,986,hurricane
31,-90.2,40,992,tropical storm
32.5,-89.9,30,998,tropical depression
34,-89.7,25,1002,tropical depression
35.9,-89.1,25,1004,tropical depression
37.2,-87.8,25,1006,tropical depression
38.5,-86.5,25,1006,tropical depression
38.8,-85.3,25,1006,tropical depression
39,-84,25,1007,tropical depression
39,-82.7,25,1008,tropical depression
39,-81.3,20,1009,tropical depression
38.7,-80.1,20,1009,tropical depression
38.3,-78.8,20,1010,tropical depression
37.9,-77.7,20,1010,tropical depression
37.5,-76.5,20,1011,tropical depression
36.8,-76.3,20,1011,tropical depression
36,-76,20,1012,tropical depression
35,-76.3,20,1012,tropical depression
34,-76.5,20,1013,tropical depression
33.5,-75.8,20,1013,tropical depression
33,-75,20,1014,tropical depression
12.5,-46.3,20,1014,tropical depression
12.8,-48.4,20,1014,tropical depression
13.4,-50.4,25,1012,tropical depression
14.6,-52.1,25,1012,tropical depression
15.7,-53.8,30,1011,tropical depression
16.5,-55.5,30,1011,tropical depression
17,-57.2,30,1011,tropical depression
17.5,-58.8,30,1011,tropical depression
17.8,-60.3,35,1011,tropical storm
18,-62.1,40,1010,tropical storm
18.2,-63.8,35,1010,tropical storm
18.3,-65.4,30,1011,tropical depression
18.4,-67,30,1011,tropical depression
18.5,-68.5,25,1012,tropical depression
18.7,-69.5,20,1012,tropical depression
18.8,-70.5,20,1012,tropical depression
18.8,-71.4,20,1012,tropical depression
19,-72.4,20,1012,tropical depression
19,-73.3,20,1013,tropical depression
19.2,-74.7,20,1013,tropical depression
19.5,-76.7,20,1013,tropical depression
20,-78.7,20,1013,tropical depression
20.6,-80.4,20,1013,tropical depression
21.4,-82.2,25,1013,tropical depression
22.1,-83.5,30,1012,tropical depression
22.8,-85,30,1010,tropical depression
23.5,-86.5,30,1007,tropical depression
24,-87.4,30,1007,tropical depression
24.5,-88.5,30,1007,tropical depression
25,-89.5,30,1006,tropical depression
25.4,-90.5,30,1005,tropical depression
25.9,-91.4,30,1004,tropical depression
26.4,-92.4,35,1003,tropical storm
26.9,-92.9,35,1003,tropical storm
27.5,-93.4,35,1003,tropical storm
28.3,-93.5,40,1003,tropical storm
28.8,-93.7,45,1002,tropical storm
29.6,-93.9,45,1000,tropical storm
30.3,-93.9,40,997,tropical storm
30.3,-94.3,35,998,tropical storm
30.5,-94.8,30,1000,tropical depression
30.5,-95.2,30,1001,tropical depression
30.2,-95.3,30,1001,tropical depression
30.6,-95.1,30,1002,tropical depression
30.8,-95.4,25,1003,tropical depression
31.3,-96.3,25,1004,tropical depression
31.8,-96.6,20,1004,tropical depression
32.7,-96.4,20,1006,tropical depression
34,-95.9,15,1007,tropical depression
35.3,-95.3,15,1007,tropical depression
36.4,-94.6,15,1007,tropical depression
37.8,-93.4,15,1008,tropical depression
38.6,-91,15,1009,tropical depression
38.8,-88,15,1009,tropical depression
39,-85.2,15,1010,tropical depression
39,-82.8,15,1011,tropical depression
39,-80.2,15,1011,tropical depression
11.7,-36.1,25,1008,tropical depression
11.7,-38.2,25,1007,tropical depression
11.7,-40.3,30,1006,tropical depression
11.6,-42.2,35,1005,tropical storm
11.6,-44,40,1003,tropical storm
11.6,-45.5,45,998,tropical storm
11.7,-47,55,990,tropical storm
11.8,-48.5,65,980,hurricane
11.8,-50,80,966,hurricane
11.9,-51.5,95,954,hurricane
12.2,-52.9,115,947,hurricane
12.5,-54.4,125,941,hurricane
12.8,-55.7,130,938,hurricane
13.2,-56.9,125,941,hurricane
13.7,-58,120,944,hurricane
14.2,-59.2,120,942,hurricane
14.8,-60.3,125,938,hurricane
15.3,-61.6,125,933,hurricane
15.6,-62.8,130,929,hurricane
16,-64.2,140,925,hurricane
16.3,-65.2,145,924,hurricane
16.6,-66.2,150,924,hurricane
16.8,-67.3,145,927,hurricane
17,-68.3,145,928,hurricane
17.2,-69.1,145,927,hurricane
17.9,-69.7,150,926,hurricane
18.8,-70.4,130,953,hurricane
19.3,-72,100,978,hurricane
19.7,-73.7,65,1002,hurricane
20.6,-74.6,60,1002,tropical storm
21.3,-75.2,65,997,hurricane
21.9,-75.5,70,990,hurricane
23,-76.3,70,984,hurricane
23.9,-77.4,75,979,hurricane
24.6,-78.2,80,976,hurricane
25.3,-79.1,80,974,hurricane
26.3,-79.6,85,973,hurricane
27.2,-80.2,85,972,hurricane
28,-80.5,85,971,hurricane
29.1,-80.8,85,970,hurricane
